competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
5895360,True,False,ATL,CHI,ATL @ CHI,NBA,2023-04-05 00:00:00+00:00,United Center
5895570,True,False,TOR,CHA,TOR @ CHA,NBA,2023-04-04 23:00:00+00:00,Time Warner Cable Arena
5896662,True,False,CLE,ORL,CLE @ ORL,NBA,2023-04-04 23:00:00+00:00,Amway Center
5897568,True,False,POR,MEM,POR @ MEM,NBA,2023-04-05 00:00:00+00:00,FedExForum
5898090,True,False,SAC,NOP,SAC @ NOP,NBA,2023-04-05 00:00:00+00:00,New Orleans Arena
5899272,True,False,MIL,WAS,MIL @ WAS,NBA,2023-04-04 23:00:00+00:00,Verizon Center
5899674,True,False,MIN,BKN,MIN @ BKN,NBA,2023-04-04 23:30:00+00:00,Barclays Center
5899854,True,False,LAL,UTA,LAL @ UTA,NBA,2023-04-05 01:00:00+00:00,EnergySolutions Arena
5900112,True,False,OKC,GSW,OKC @ GSW,NBA,2023-04-05 02:00:00+00:00,Chase Center
5900113,True,False,OKC,GSW,OKC @ GSW,NBA,2023-04-05 03:00:00+00:00,Chase Center
5900117,True,False,OKC,GSW,OKC @ GSW,NBA,2023-04-05 03:20:00+00:00,Chase Center
5900424,True,False,DEN,HOU,DEN @ HOU,NBA,2023-04-05 00:00:00+00:00,Toyota Center
5900820,True,False,MIA,DET,MIA @ DET,NBA,2023-04-04 23:00:00+00:00,Little Caesars Arena
5900844,True,False,BOS,PHI,BOS @ PHI,NBA,2023-04-05 00:00:00+00:00,Wells Fargo Center
5903557,True,False,SAS,PHX,SAS @ PHX,NBA,2023-04-05 02:00:00+00:00,US Airways Center
