competition_id,are_depth_charts_available,are_starting_lineups_available,away_team,home_team,name,sport,starts_at,venue
5955242,True,False,CHI,UTA,CHI @ UTA,NBA,2024-03-07 02:00:00+00:00,EnergySolutions Arena
5955824,True,False,CLE,ATL,CLE @ ATL,NBA,2024-03-07 00:30:00+00:00,Philips Arena
5956166,True,False,ORL,WAS,ORL @ WAS,NBA,2024-03-07 00:00:00+00:00,Verizon Center
5957930,True,False,OKC,POR,OKC @ POR,NBA,2024-03-07 03:00:00+00:00,Moda Center at the Rose Quarter
5958866,True,False,MEM,PHI,MEM @ PHI,NBA,2024-03-07 00:30:00+00:00,Wells Fargo Center
5959772,True,False,SAC,LAL,SAC @ LAL,NBA,2024-03-07 03:30:00+00:00,Staples Center
5959773,True,False,SAC,LAL,SAC @ LAL,NBA,2024-03-07 04:30:00+00:00,Staples Center
5959777,True,False,SAC,LAL,SAC @ LAL,NBA,2024-03-07 04:50:00+00:00,Staples Center
5961362,True,False,MIL,GSW,MIL @ GSW,NBA,2024-03-07 03:00:00+00:00,Chase Center
5961824,True,False,LAC,HOU,LAC @ HOU,NBA,2024-03-07 00:30:00+00:00,Toyota Center
