draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
146729,70,3,0,NBA,2026-04-29 23:00:00+00:00
146730,188,3,0,NBA,2026-04-29 23:00:00+00:00
146731,73,3,0,NBA,2026-04-29 23:00:00+00:00
146732,343,3,0,NBA,2026-04-29 23:00:00+00:00
146733,81,1,0,NBA,2026-04-29 23:00:00+00:00
146734,81,1,0,NBA,2026-04-29 23:30:00+00:00
146735,70,2,0,NBA,2026-04-29 23:30:00+00:00
146736,188,2,0,NBA,2026-04-29 23:30:00+00:00
146737,81,1,0,NBA,2026-04-30 02:00:00+00:00
146738,193,1,0,NBA,2026-04-30 02:00:00+00:00
