,entry_max_per_user
158747495,3
158747496,3
158747497,150
158747498,1
158747499,1
158747500,1
158747501,1
158747502,1
158747503,1
158747504,1
158747505,1
158747506,1
158747507,1
158747508,3
158747509,1
158747510,1
158747511,13
158747512,20
158747513,1
158747514,20
158747515,1
158747516,1
158747517,1
158747518,1
158747519,1
158747520,1
158747521,1
158747522,142
158747523,1
158747524,1
158747525,1
158747526,1
158747527,20
158747528,20
158747529,8
158747530,1
158747531,1
158747532,1
158747533,1
158747534,1
158747535,1
158747536,20
158747537,1
158747538,70
158747539,17
158747540,20
158747541,1
158747542,1
158747543,20
158747544,20
158747545,1
158747546,17
158747547,1
158747548,1
158747549,1
158747550,94
158747551,1
158747552,20
158747553,1
158747554,1
158747555,1
158747556,20
158747557,20
158747558,2
158747559,1
158747560,150
158747561,1
158747562,1
158747563,1
158747564,1
158747565,1
158747566,10
158747567,7
158747568,14
158747569,1
158747570,1
158747571,1
158747572,2
158749781,1
158749782,1
158749783,1
158749784,1
158749785,1
158749786,1
158749787,1
158749788,1
158749789,1
158749790,1
158749791,1
158749792,1
158749793,1
158749794,1
158749795,1
158749796,1
158749797,1
158749798,1
158749799,1
158749800,1
158749801,5
158749802,4
158749803,1
158749806,1
158749807,1
158749808,1
158749809,1
158749810,1
158749811,1
158749812,1
158749813,1
158749814,1
158749815,1
158749816,1
158749818,3
158749819,1
158749820,1
158749821,5
158749822,10
158749823,2
158749824,4
158749825,1
158749826,1
158749835,1
158749836,1
158749837,1
158749838,1
158749841,1
158749842,1
158749843,1
158749844,1
158749845,1
158749846,1
158749847,1
158749848,1
158749849,1
158749850,1
158749851,1
158749852,1
158749853,1
158749854,1
158749855,1
158749856,1
158749857,1
158749858,1
158749859,1
158749860,1
158749861,1
158749862,1
158749863,1
158749864,1
158749865,1
158749866,1
158749867,1
158749868,1
158749869,1
158749870,1
158749871,1
158749872,1
158749873,1
158749874,1
158749875,1
158749876,1
158749877,1
158749878,1
158749879,1
158749880,1
158749881,1
158749882,1
158749883,1
158749884,1
158749885,1
158749886,1
158749887,1
158749888,1
158749889,1
158749890,1
158749891,1
158749892,1
158749893,1
158749894,1
158749895,1
158749896,1
158749897,1
158749898,1
158749899,1
158749900,1
158749901,1
158749902,1
158749903,1
158749904,1
158749905,1
158749906,1
158749907,1
158749908,1
158749909,1
158749910,1
158749911,1
158749912,1
158749913,1
158749914,1
158749915,1
158749916,1
158749917,1
158749918,1
158749919,1
158749920,1
158749921,1
158749922,1
158749923,1
158749924,1
158749925,1
158749926,1
158749927,1
158749928,1
158749929,1
158749930,1
158749931,1
158749932,1
158749933,1
158749934,1
158749935,1
158749936,1
158749937,1
158749938,1
158749939,1
158749940,1
158749941,1
158749942,1
158749943,1
158749944,1
158749945,1
158749946,1
158749947,1
158749948,1
158749949,1
158749950,1
158749951,1
158749952,1
158749953,1
158749954,1
158749955,1
158749956,1
158749957,1
158749958,1
158749959,1
158749960,1
158749961,1
158749962,1
158749963,1
158749964,1
158749965,1
158749966,1
158749967,1
158749968,1
158749969,1
158749970,1
158749971,1
158749972,1
158749973,1
158749974,1
158749975,1
158749976,1
158749977,1
158749978,1
158749979,1
158749980,1
158749981,1
158749982,1
158749983,1
158749984,1
158749985,1
158749986,1
158749987,1
158749988,1
158749989,1
158749990,1
158749991,1
158749992,1
158749993,1
158749994,1
158749995,1
158749996,1
158749997,1
158749998,1
158749999,1
158750000,1
158750001,1
158750002,1
158750003,1
158750004,1
158750005,1
158750006,1
158750007,1
158750008,1
158750009,1
158750010,1
158750011,1
158750012,1
158750013,1
158750014,1
158750015,1
158750016,1
158750017,1
158750018,1
158750019,1
158750020,1
158750021,1
158750022,1
158750023,1
158750024,1
158750025,1
158750026,1
158750027,1
158750028,1
158750029,1
158750030,1
158750031,1
158750032,1
158750033,1
158750034,1
158750035,1
158750036,1
158750037,1
158750040,1
158750041,1
158750042,1
158750043,1
158750044,1
158750045,1
