contest_id,entry_max_per_user
142524817,1
142524818,20
142524819,20
142524820,1
142524821,1
142524822,1
142524823,4
142524824,4
142524825,150
142524826,3
142524827,20
142524828,1
142524829,1
142524830,1
142524831,5
142524832,1
142524833,20
142524834,1
142524835,57
142524836,20
142524837,20
142524838,5
142524839,20
142524840,1
142524841,1
142524842,1
142524843,70
142524844,1
142524845,20
142524846,28
142524847,5
142524848,20
142524849,1
142524850,1
142524851,1
142524852,1
142524853,2
142524854,3
142524855,150
142524856,1
142524857,1
142524858,1
142524859,1
142524860,1
142524861,2
142524862,5
142524863,10
142524864,20
142524865,1
142524866,1
142524867,1
142524868,1
142524869,13
142524870,20
142524871,3
142524872,20
142524873,150
142524874,1
142524875,1
142524876,1
142524877,1
142524878,1
142524879,1
142524880,1
142524881,1
142524882,1
142524883,1
142524884,1
142524885,142
142524886,1
142524887,20
142524888,1
142524889,11
142524890,20
142524891,1
142524892,1
142524893,20
142524894,1
142524895,1
142524896,3
142524897,21
142524898,20
142524899,1
142524900,1
142524901,1
142524902,20
142524903,1
142524904,28
142524905,1
142524906,1
142524907,1
142524908,20
142524909,1
142524910,4
142524911,1
142524912,20
142524913,20
142524914,1
142524915,2
142524916,17
142524917,1
142524918,1
142524919,1
142524920,1
142524921,1
142524922,1
142524923,20
142524924,1
142524925,1
142524926,20
142524927,1
142524928,17
142524929,1
142524930,7
142524931,1
142524932,3
142524933,7
142524934,3
142524935,7
142524936,1
142524937,1
142525142,1
142525143,1
142525144,1
142525145,1
142525146,1
142525147,1
142525149,1
142525152,1
142525153,1
142525154,1
142525155,1
142525156,1
142525157,1
142525166,1
142525167,1
142525168,1
142525169,1
142525170,1
142525171,1
142525172,1
142525177,1
142525178,1
142525179,1
142525181,1
142525182,1
142525183,1
142525185,1
142525186,1
142525187,1
142525188,1
142525189,1
142525190,1
142525191,1
142525192,1
142525193,1
142525195,1
142525196,1
142525197,1
142525198,1
142525199,1
142525200,1
142525201,1
142525202,1
142525203,1
142525204,1
142525205,1
142525206,1
142525207,8
142525208,8
142525209,1
142525210,1
142525211,1
142525212,1
142525213,1
142525214,3
142525215,1
142525216,1
142525217,1
142525218,5
142525219,1
142525220,2
142525226,1
142525227,1
142525228,1
142525229,1
142525230,1
142525232,1
142525234,1
142525235,1
142525236,1
142525237,1
142525238,1
142525239,1
142525240,1
142525241,1
142525242,1
142525243,1
142525244,1
142525245,1
142525246,1
142525247,1
142525248,1
142525249,1
142525250,1
142525251,1
142525252,8
142525253,8
142525254,1
142525255,1
142525256,1
142525257,1
142525258,1
142525259,3
142525260,1
142525261,1
142525262,1
142525263,5
142525264,1
142525265,2
142525266,1
142525267,1
142525268,1
142525269,1
142525270,1
142525271,1
142525272,1
142525273,1
142525274,1
142525275,1
142525276,1
142525277,1
142525278,8
142525279,8
142525280,1
142525281,1
142525282,1
142525283,1
142525284,1
142525285,3
142525286,1
142525287,1
142525288,1
142525289,5
142525290,1
142525291,2
142525292,1
142525293,1
142525294,1
142525295,1
142525296,1
142525297,1
142525298,1
142525299,1
142525300,1
142525301,1
142525302,1
142525303,1
142525304,8
142525305,8
142525306,1
142525307,1
142525308,1
142525309,1
142525310,1
142525311,3
142525312,1
142525313,1
142525314,1
142525315,5
142525316,1
142525317,2
142525321,1
142525322,1
142525323,1
142525324,1
142525325,1
142525326,1
142525328,1
142525329,1
142525330,1
142525331,1
142525332,1
142525333,1
142525334,1
142525335,1
142525336,1
142525337,1
142525338,1
142525339,1
142525340,1
142525341,1
142525342,1
142525343,1
142525344,1
142525345,1
142525346,1
142525347,1
142525348,1
142525349,1
142525350,1
142525351,1
142525352,1
142525353,1
142525354,1
142525355,1
142525356,1
142525357,1
142525358,1
142525359,1
142525360,1
142525361,1
142525362,1
142525363,1
142525364,1
142525365,1
142525366,1
142525367,1
142525368,1
142525369,1
142525370,1
142525371,1
142525372,1
142525373,1
142525374,1
142525375,1
142525376,1
142525377,1
142525378,1
142525379,1
142525380,1
142525381,1
142525382,1
142525383,1
142525384,1
142525385,1
142525386,1
142525387,1
142525388,1
142525389,1
142525390,1
142525391,1
142525392,1
142525393,1
142525394,1
142525395,1
142525396,1
142525397,1
142525398,1
142525399,1
142525400,1
142525401,1
142525402,1
142525403,1
142525404,1
142525405,1
142525406,1
142525407,1
142525408,1
142525409,1
142525410,1
142525411,1
142525412,1
142525413,1
142525414,1
142525415,1
142525416,1
142525417,1
142525418,1
142525419,1
142525420,1
142525421,1
142525422,1
142525423,1
142525424,1
142525425,1
142525426,1
142525427,1
142525428,1
142525429,1
142525430,1
142525431,1
142525432,1
142525433,1
142525434,1
142525435,1
142525436,1
142525437,1
142525438,1
142525439,1
142525440,1
142525441,1
142525442,1
142525443,1
142525444,1
142525445,1
142525446,1
142525447,1
142525448,1
142525449,1
142525450,1
142525451,1
142525452,1
142525453,1
142525454,1
142525455,1
142525456,1
142525457,1
142525458,1
142525459,1
142525460,1
142525461,1
142525462,1
142525463,1
142525464,1
142525465,1
142525466,1
142525467,1
142525468,1
142525469,1
142525470,1
142525471,1
142525472,1
142525473,1
142525474,1
142525475,1
142525476,1
142525477,1
142525478,1
142525479,1
142525480,1
142525481,1
142525482,3
142525483,1
142525484,1
142525485,1
142525486,1
142525487,1
142525488,1
142525489,1
142525490,1
142525491,1
142525492,1
142525493,1
142525494,1
142525495,1
142525496,1
142525497,1
142525498,1
142525499,1
142525500,1
142525501,1
142525502,1
142525503,1
142525504,1
142525505,1
142525506,1
142525507,1
142525508,1
142525509,1
142525510,1
142525511,1
142525512,20
142525513,1
142525514,1
142525515,1
142525516,1
142525517,1
142525518,1
142525519,1
142525520,1
142525521,2
142525522,7
142525523,1
142525524,1
142525525,1
142525526,1
142525527,1
142525528,1
142525529,1
142525530,1
142525531,1
142525532,1
142525533,1
142525534,1
142525535,1
142525536,1
142525537,1
142525538,3
142525539,1
142525540,1
142525541,1
142525542,1
142525543,3
142525544,3
142525545,7
142525546,1
142525547,1
142525548,1
142525549,1
142525550,1
142525551,1
142525552,1
142525553,1
142525554,1
142525555,1
142525556,1
142525557,1
142525558,1
142525559,1
142525560,1
142525561,1
142525562,1
142525563,1
142525564,1
142525565,1
142525566,1
142525567,1
142525568,1
142525569,1
142525570,1
142525571,1
142525572,1
142525573,1
142525574,1
142525575,1
142525576,1
142525577,1
142525578,1
142525579,1
142525580,1
142525581,1
142525582,1
142525583,1
142525584,1
142525585,1
142525586,1
142525587,1
142525588,1
142525589,1
142525590,1
142525591,1
142525592,1
142525593,1
142525594,1
142525595,1
142525596,1
142525597,1
142525598,1
142525599,1
142525600,3
142525601,1
142525602,1
142525603,8
142525604,8
142525605,3
142525606,3
142525607,1
142525608,1
142525609,1
142525610,1
142525611,1
142525612,7
142525613,7
142525614,3
142525615,3
142525616,1
142525617,1
142525618,1
142525619,1
142525620,1
142525621,1
142525622,1
142525623,1
142525624,1
142525625,1
142525626,1
142525627,1
142525628,1
142525629,1
142525630,1
142525631,1
142525632,1
142525633,3
142525634,6
142525635,1
142525636,1
142525637,1
142525638,1
142525639,1
142525640,1
142525641,1
142525642,1
142525643,1
142525644,1
142525645,1
142525646,1
142525647,1
142525648,1
142525649,1
142525650,1
142525651,1
142525652,1
142525653,1
142525654,1
142525655,1
142525656,1
142525657,1
142525658,1
142525659,1
142525660,1
142525661,1
142525662,1
142525663,1
142525664,1
142525665,1
142525666,1
142525667,1
142525668,1
142525669,1
142525670,1
142525671,1
142525672,1
142525673,1
142525674,1
142525675,1
142525676,1
142525677,1
142525678,1
142525679,1
142525680,1
142525681,1
142525682,1
142525683,1
142525684,1
142525685,1
142525686,1
142525687,1
142525688,1
142525689,8
142525690,3
142525691,1
142525692,1
142525693,1
142525694,1
142525695,1
142525696,1
142525697,3
142525698,3
142525699,1
142525700,1
142525701,1
142525702,1
142525703,7
142525704,5
142525705,1
142525706,2
142525707,1
142525708,1
142525709,1
142525710,1
142525711,1
142525712,1
142525713,1
142525714,1
142525715,1
142525716,1
142525717,1
142525718,1
142525719,1
142525720,1
142525721,1
142525722,1
142525723,1
142525724,1
142525725,1
142525726,1
142525727,1
142525728,1
142525729,1
142525730,1
142525731,1
142525732,1
142525733,1
142525734,1
142525735,1
142525736,1
142525737,1
142525738,1
142525739,1
142525740,1
142525741,1
142525742,1
142525743,1
142525744,1
142525745,1
142525746,1
142525747,1
142525748,1
142525749,1
142525750,1
142525751,1
142525752,1
142525753,1
142525754,1
142525755,1
142525756,1
142525757,1
142525758,1
142525759,1
142525760,1
142525761,1
142525762,1
142525763,1
142525764,1
142525765,1
142525766,1
142525767,1
142525768,1
142525769,1
142525770,1
142525771,1
142525772,1
142525773,1
142525774,1
142525775,1
142525776,1
142525777,1
142525778,8
142525779,3
142525780,1
142525781,1
142525782,1
142525783,1
142525784,1
142525785,1
142525786,3
142525787,3
142525788,1
142525789,1
142525790,1
142525791,1
142525792,7
142525793,5
142525794,1
142525795,2
142525796,1
142525797,1
142525798,1
142525799,1
142525800,1
142525801,1
142525802,1
142525803,1
142525804,1
142525805,1
142525806,1
142525807,1
142525808,1
142525809,1
142525810,1
142525811,1
142525812,1
142525813,1
142525814,1
142525815,1
142525816,1
142525817,1
142525818,1
142525819,1
142525820,1
142525821,1
142525822,1
142525823,1
142525824,1
142525825,1
142525826,1
142525827,1
142525828,1
142525829,1
142525830,1
142525831,1
142525832,1
142525833,1
142525834,1
142525835,1
142525836,1
142525837,1
142525838,1
142525839,1
142525840,1
142525841,1
142525842,1
142525843,1
142525844,1
142525845,1
142525846,1
142525847,1
142525848,1
142525849,1
142525850,8
142525851,3
142525852,1
142525853,1
142525854,1
