contest_id,minPosition,maxPosition,payout
167782337,1,1,40.0
167782337,2,2,20.0
167782337,3,3,15.0
167782337,4,4,10.0
167782337,5,5,8.0
167782337,6,6,6.0
167782337,7,7,5.0
167782337,8,8,4.0
167782337,9,10,3.0
167782337,11,15,2.0
167782337,16,30,1.5
167782337,31,70,1.0
167782337,71,180,0.75
167782337,181,442,0.5
167782338,1,1,60.0
167782338,2,2,39.0
167782338,3,3,27.0
167782338,4,4,21.0
167782338,5,5,18.0
167782338,6,10,15.0
167782338,11,15,12.0
167782339,1,1,300.0
167782339,2,2,200.0
167782339,3,3,150.0
167782339,4,4,100.0
167782340,1,1,100.0
167782340,2,2,75.0
167782340,3,3,50.0
167782340,4,4,40.0
167782340,5,5,30.0
167782340,6,6,25.0
167782340,7,8,20.0
167782340,9,10,15.0
167782340,11,12,10.0
167782340,13,15,8.0
167782340,16,19,6.0
167782340,20,25,5.0
167782340,26,34,4.0
167782340,35,51,3.0
167782340,52,90,2.5
167782340,91,160,2.0
167782340,161,285,1.5
167782341,1,1,80.0
167782341,2,2,50.0
167782341,3,3,40.0
167782341,4,4,30.0
167782341,5,5,25.0
167782341,6,7,20.0
167782341,8,10,15.0
167782341,11,15,12.0
167782341,16,25,10.0
167782341,26,39,8.0
167782341,40,67,6.0
167782342,1,1,100.0
167782342,2,2,60.0
167782342,3,3,40.0
167782342,4,5,30.0
167782342,6,7,20.0
167782343,1,1,2000.0
167782343,2,2,750.0
167782343,3,3,350.0
167782343,4,4,200.0
167782343,5,5,150.0
167782343,6,7,100.0
167782343,8,10,80.0
167782343,11,15,60.0
167782343,16,20,50.0
167782343,21,30,40.0
167782343,31,55,30.0
167782343,56,100,25.0
167782343,101,175,20.0
167782343,176,294,15.0
167782344,1,1,700.0
167782344,2,2,450.0
167782344,3,3,230.0
167782344,4,4,150.0
167782345,1,1,200.0
167782345,2,2,150.0
167782345,3,3,100.0
167782345,4,4,60.0
167782394,1,1,30.0
167782394,2,2,15.0
167782394,3,3,10.0
167782394,4,4,8.0
167782394,5,5,6.0
167782394,6,6,5.0
167782394,7,8,4.0
167782394,9,10,3.0
167782394,11,15,2.0
167782394,16,25,1.5
167782394,26,55,1.0
167782394,56,135,0.75
167782394,136,329,0.5
167782395,1,1,60.0
167782395,2,2,39.0
167782395,3,3,27.0
167782395,4,4,21.0
167782395,5,5,18.0
167782395,6,10,15.0
167782395,11,15,12.0
167782396,1,1,50.0
167782396,2,2,40.0
167782396,3,3,30.0
167782396,4,4,25.0
167782396,5,7,20.0
167782396,8,10,15.0
167782396,11,15,10.0
167782396,16,25,8.0
167782396,26,45,6.0
167782397,1,1,100.0
167782397,2,2,75.0
167782397,3,3,50.0
167782397,4,5,25.0
167782397,6,7,15.0
167782397,8,11,10.0
167782397,12,16,7.5
167782397,17,26,5.0
167782397,27,51,2.5
167782397,52,102,2.0
167782397,103,204,1.5
167782398,1,1,85.0
167782398,2,2,50.0
167782398,3,3,20.0
167782399,1,1,250.0
167782399,2,2,150.0
167782399,3,3,100.0
167782400,1,1,500.0
167782400,2,2,220.0
167782401,1,1,2000.0
167782401,2,2,1000.0
167782401,3,3,500.0
167782401,4,4,250.0
167782401,5,5,150.0
167782401,6,7,100.0
167782401,8,9,75.0
167782401,10,14,50.0
167782401,15,24,40.0
167782401,25,44,30.0
167782401,45,94,20.0
167782401,95,194,15.0
167782402,1,1,120.0
167782402,2,2,72.0
167782402,3,3,48.0
167782426,1,1,54.0
167782427,1,1,135.0
167782428,1,1,27.0
167782429,1,1,13.5
167782430,1,1,2.7
167782431,1,2,10000.0
167782432,1,2,2000.0
167782433,1,2,1000.0
167782434,1,2,300.0
167782435,1,2,200.0
167782436,1,2,90.0
167782437,1,10,36.0
167782438,1,5,36.0
167782439,1,2,36.0
167782440,1,2,36.0
167782441,1,10,18.0
167782442,1,5,18.0
167782443,1,5,18.0
