draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
89427,37,3,0,NBA,2023-07-12 16:00:00+00:00
89428,81,1,0,NBA,2023-07-12 16:00:00+00:00
89517,37,2,0,NBA,2023-07-12 23:00:00+00:00
89518,81,1,0,NBA,2023-07-12 23:00:00+00:00
89519,81,1,0,NBA,2023-07-13 02:00:00+00:00
89523,81,1,0,NBA,2023-07-12 17:00:00+00:00
89597,92,4,0,NBA,2023-07-12 19:30:00+00:00
89598,92,2,0,NBA,2023-07-12 21:30:00+00:00
89599,92,4,0,NBA,2023-07-12 23:30:00+00:00
89600,92,2,0,NBA,2023-07-13 01:30:00+00:00
89601,93,1,0,NBA,2023-07-13 02:00:00+00:00
