,entry_max_per_user
143708936,150
143708937,1
143708938,1
143708939,1
143708940,1
143708941,1
143708942,1
143708943,1
143708944,1
143708945,1
143708946,2
143708947,1
143708948,1
143708949,1
143708950,6
143708951,13
143708952,20
143708953,1
143708954,3
143708955,3
143708956,20
143708957,20
143708958,1
143708959,1
143708960,1
143708961,1
143708962,1
143708963,1
143708964,20
143708965,20
143708966,1
143708967,150
143708968,11
143708969,1
143708970,20
143708971,1
143708972,1
143708973,2
143708974,20
143708975,1
143708976,1
143708977,1
143708978,141
143708979,20
143708980,1
143708981,20
143708982,1
143708983,2
143708984,2
143708985,1
143708986,1
143708987,20
143708988,150
143708989,20
143708990,20
143708991,20
143708992,1
143708993,1
143708994,2
143708995,1
143708996,20
143708997,1
143708998,1
143708999,20
143709000,1
143709001,20
143709002,1
143709003,2
143709004,1
143709005,1
143709006,42
143709007,1
143709008,1
143709009,1
143709010,20
143709011,1
143709012,20
143709013,4
143709014,20
143709015,1
143709016,1
143709017,21
143709018,2
143709019,1
143709020,1
143709021,1
143709022,1
143709023,1
143709024,17
143709025,14
143709026,1
143709027,3
143709028,7
143709029,1
143709030,1
143709031,1
143709256,1
143709257,1
143709258,1
143709259,1
143709260,1
143709263,1
143709264,1
143709265,1
143709266,1
143709267,1
143709268,1
143709269,1
143709270,1
143709275,1
143709276,1
143709277,1
143709278,1
143709279,1
143709280,1
143709281,1
143709282,1
143709283,1
143709284,1
143709285,1
143709286,1
143709287,1
143709288,1
143709289,1
143709290,1
143709291,1
143709292,1
143709293,1
143709294,1
143709295,1
143709296,1
143709297,1
143709298,1
143709299,1
143709300,1
143709301,1
143709302,1
143709303,1
143709304,1
143709305,1
143709306,1
143709307,1
143709308,1
143709309,1
143709310,1
143709311,1
143709312,1
143709313,1
143709314,1
143709315,1
143709316,1
143709317,1
143709318,1
143709319,1
143709320,1
143709321,1
143709322,1
143709323,1
143709324,1
143709325,1
143709326,1
143709327,1
143709328,1
143709329,1
143709330,1
143709331,1
143709332,1
143709333,1
143709334,1
143709335,1
143709336,1
143709337,1
143709338,1
143709339,1
143709340,1
143709341,1
143709342,1
143709343,1
143709344,1
143709345,1
143709346,1
143709347,1
143709348,1
143709349,1
143709350,1
143709351,1
143709352,1
143709353,1
143709354,1
143709355,1
143709356,1
143709357,1
143709358,1
143709359,1
143709360,1
143709361,1
143709362,1
143709363,1
143709364,1
143709365,1
143709366,1
143709367,1
143709368,1
143709369,8
143709370,3
143709371,1
143709372,1
143709373,1
143709374,1
143709375,1
143709376,1
143709377,1
143709378,1
143709379,1
143709380,1
143709381,1
143709382,1
143709383,1
143709384,1
143709385,1
143709386,1
143709387,1
143709388,1
143709389,1
143709390,1
143709391,1
143709392,1
143709393,1
143709394,1
143709395,1
143709396,1
143709397,1
143709398,1
143709399,1
143709400,1
143709401,1
143709402,1
143709403,1
143709404,1
143709405,1
143709406,1
143709407,1
143709408,1
143709409,1
143709410,1
143709411,1
143709412,1
143709413,1
143709414,1
143709415,1
143709416,1
143709417,1
143709418,1
143709419,1
143709420,1
143709421,1
143709422,1
143709423,1
143709424,1
143709425,1
143709426,1
143709427,1
143709428,1
143709429,1
143709430,1
143709431,1
143709437,1
143709438,1
143709439,1
143709440,1
143709441,1
143709442,1
143709443,1
143709446,1
143709447,1
143709449,8
143709450,8
143709451,1
143709452,1
143709453,1
143709454,1
143709455,1
143709456,1
143709457,3
143709458,3
143709459,1
143709460,1
143709461,1
143709462,2
143709463,1
143709464,1
143709465,1
143709466,1
143709467,1
143709468,1
143709469,1
143709470,1
143709471,1
143709472,1
143709473,1
143709474,1
143709475,1
143709476,1
143709477,8
143709478,8
143709479,1
143709480,1
143709481,1
