Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,83.87%,32.25
Keegan Murray,SF,58.06%,6.25
Harrison Barnes,SF,54.84%,27.0
Kyle Anderson,SF,41.94%,47.25
Joel Embiid,C,41.94%,56.0
De'Aaron Fox,PG,41.94%,38.5
De'Anthony Melton,SG,38.71%,9.0
Jaden McDaniels,SF,38.71%,31.5
Mike Conley,PG,35.48%,34.25
James Harden,PG,32.26%,69.25
Tobias Harris,SF,32.26%,6.0
Naz Reid,PF,29.03%,17.5
Anthony Edwards,SG,29.03%,43.0
Domantas Sabonis,C,25.81%,51.0
Taurean Prince,SF,22.58%,10.0
Giannis Antetokounmpo,PF,22.58%,58.25
Rudy Gobert,C,19.35%,35.5
Kevin Huerter,SF,19.35%,39.0
Trey Lyles,PF,16.13%,30.0
Malik Monk,SG,16.13%,16.75
Brook Lopez,C,12.90%,42.5
Jalen McDaniels,SF,9.68%,11.0
Nickeil Alexander-Walker,G,9.68%,33.25
P.J. Tucker,F,6.45%,8.0
Jrue Holiday,PG,6.45%,54.0
Pat Connaughton,F,6.45%,3.5
Davion Mitchell,SG,6.45%,3.5
Khris Middleton,UTIL,3.23%,14.25
Jae Crowder,PF,3.23%,4.75
Austin Rivers,PG,3.23%,0.0
Jevon Carter,UTIL,3.23%,11.25
Terence Davis,F,3.23%,5.25
