EntryId,Username,EntryNumber,EntryTotal,Points,T1,T2,T3,T4,T5,T6
3680156087,ljotherbutler,1,1,262.5,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Tyler Herro,Brook Lopez,Clint Capela
3679902633,norcalhangman,1,1,261.0,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Alperen Sengun,Zach Collins,Clint Capela
3679428888,sbish11,1,1,255.0,Giannis Antetokounmpo,Domantas Sabonis,Jimmy Butler,Evan Mobley,Jarrett Allen,Jeremy Sochan
3679883234,bkreider,1,1,249.25,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Evan Mobley,Jarrett Allen,Jeremy Sochan
3679962582,Moose5454,1,1,249.25,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Evan Mobley,Jarrett Allen,Jeremy Sochan
3679337997,fc123,1,1,244.25,Giannis Antetokounmpo,Donovan Mitchell,De'Aaron Fox,Evan Mobley,Jarrett Allen,Clint Capela
3679486979,russellfonner,1,1,239.0,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Tyler Herro,Jalen Green,Clint Capela
3680192580,jtgus,1,1,237.75,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Dejounte Murray,Jalen Green,Kyle Anderson
3679286744,rmehal,1,1,237.0,Giannis Antetokounmpo,Donovan Mitchell,De'Aaron Fox,Dejounte Murray,Brook Lopez,Clint Capela
3679702970,ryaaaan10,1,1,236.25,Giannis Antetokounmpo,Domantas Sabonis,Darius Garland,Dejounte Murray,Jarrett Allen,Clint Capela
3680072116,beaker913,1,1,234.75,Joel Embiid,Domantas Sabonis,De'Aaron Fox,Alperen Sengun,Jarrett Allen,Jeremy Sochan
3679576433,DangHH,1,1,232.75,Joel Embiid,Domantas Sabonis,De'Aaron Fox,Tyler Herro,Jarrett Allen,Jeremy Sochan
3679645938,jtanderson3131,1,1,224.0,James Harden,Donovan Mitchell,Jrue Holiday,Dejounte Murray,Jarrett Allen,Jaden Ivey
3679824718,MoneyCarsWomen,1,1,223.0,Giannis Antetokounmpo,Trae Young,De'Aaron Fox,Dejounte Murray,Zach Collins,Jeremy Sochan
3679419151,gregr1224,1,1,222.75,Giannis Antetokounmpo,Anthony Edwards,Jimmy Butler,Alperen Sengun,Jarrett Allen,Jaden Ivey
3680157936,benlegare,1,1,222.25,Giannis Antetokounmpo,Donovan Mitchell,De'Aaron Fox,Alperen Sengun,Jarrett Allen,Jeremy Sochan
3679966389,GreyPoupon,1,1,216.25,Giannis Antetokounmpo,Anthony Edwards,De'Aaron Fox,Dejounte Murray,Jarrett Allen,Jeremy Sochan
3679970498,Chargers1492,1,1,210.5,Giannis Antetokounmpo,Anthony Edwards,De'Aaron Fox,Dejounte Murray,Jalen Green,Jeremy Sochan
3680189696,whistle222,1,1,208.75,Giannis Antetokounmpo,Domantas Sabonis,Darius Garland,Dejounte Murray,Jalen Green,Jaden Ivey
3679988866,Holden2328,1,1,208.5,Joel Embiid,Domantas Sabonis,De'Aaron Fox,Kevin Porter Jr.,Jalen Green,Jaden Ivey
3679973769,rcarr35,1,1,207.25,Joel Embiid,Donovan Mitchell,De'Aaron Fox,Dejounte Murray,Jarrett Allen,Jeremy Sochan
3679862143,harnerwood,1,1,203.75,Giannis Antetokounmpo,Donovan Mitchell,De'Aaron Fox,Dejounte Murray,Jalen Green,Jeremy Sochan
