EntryId,Username,EntryNumber,EntryTotal,Points,C,F,G,PF,PG,SF,SG,UTIL
3680018487,bwell19,1,1,312.75,Joel Embiid,Jeremy Sochan,Kevin Huerter,Kevin Love,James Harden,Tari Eason,Devonte' Graham,Harrison Barnes
3680050932,jah_586,1,1,308.5,Jarrett Allen,Giannis Antetokounmpo,Devonte' Graham,Marvin Bagley III,Tre Jones,Kyle Anderson,Tyrese Maxey,Kevin Huerter
3680046560,eddiegrits,1,1,307.0,Alperen Sengun,Jeremy Sochan,Tre Jones,Marvin Bagley III,Devonte' Graham,Kyle Anderson,Tyrese Maxey,Joel Embiid
3680063280,JJWATTSUP,1,1,307.0,Joel Embiid,Jeremy Sochan,Tyrese Maxey,Marvin Bagley III,Devonte' Graham,Tari Eason,Hamidou Diallo,De'Aaron Fox
3680065338,mvandygriff,1,1,302.0,Zach Collins,Jeremy Sochan,Tyrese Maxey,Marvin Bagley III,Devonte' Graham,Tari Eason,Jalen Green,Giannis Antetokounmpo
3679988109,brink7,1,1,295.25,Charles Bassey,Giannis Antetokounmpo,Hamidou Diallo,Jeremy Sochan,Devonte' Graham,Tari Eason,Caris LeVert,Joel Embiid
3679829584,Cobies,1,1,290.25,Evan Mobley,Jeremy Sochan,Tyrese Maxey,Marvin Bagley III,Killian Hayes,Anthony Edwards,Devonte' Graham,Tyler Herro
3679925349,ejwilson1977,1,1,289.75,Joel Embiid,Marvin Bagley III,Tyler Herro,Tari Eason,Jaden Ivey,Hamidou Diallo,Tyrese Maxey,Clint Capela
3679528769,jcsst24,1,1,287.25,Marvin Bagley III,Anthony Edwards,Jalen Green,Jeremy Sochan,Devonte' Graham,Hamidou Diallo,Tyler Herro,Evan Mobley
3679992311,TommyGunz04,1,1,284.5,Jarrett Allen,Jeremy Sochan,Anthony Edwards,Marvin Bagley III,Devonte' Graham,Tari Eason,Romeo Langford,Joel Embiid
3679753441,6AKINGNYC,1,1,282.5,Charles Bassey,Harrison Barnes,Jalen Green,Jabari Smith Jr.,Trae Young,Kyle Anderson,Devonte' Graham,James Harden
3679456333,Tarheels3,1,1,280.25,Joel Embiid,Naz Reid,De'Aaron Fox,Jeremy Sochan,Devonte' Graham,Tari Eason,Tyler Herro,Charles Bassey
3679477088,Rayman81,1,1,277.0,Charles Bassey,Jeremy Sochan,Tyrese Maxey,Naz Reid,De'Aaron Fox,Tari Eason,Donovan Mitchell,Bam Adebayo
3680071303,Latman7,1,1,277.0,Joel Embiid,Harrison Barnes,Tre Jones,Keita Bates-Diop,Jaden Ivey,Tari Eason,Caris LeVert,James Harden
